        Frequency / GHz                SZmax(1),Zmax(1) (Lx=8) (Re)/
----------------------------------------------------------------------
                     0.1                  -8.4924505e-06
                  0.1149                  -1.1326453e-05
                  0.1298                  -1.4534963e-05
                  0.1447                  -1.8118034e-05
                  0.1596                  -2.2075722e-05
                  0.1745                  -2.6408086e-05
                  0.1894                  -3.1115188e-05
                  0.2043                  -3.6197091e-05
                  0.2192                  -4.1653865e-05
                  0.2341                  -4.7485579e-05
                   0.249                  -5.3692308e-05
                  0.2639                  -6.0274127e-05
                  0.2788                  -6.7231117e-05
                  0.2937                   -7.456336e-05
                  0.3086                  -8.2270941e-05
                  0.3235                  -9.0353948e-05
                  0.3384                  -9.8812475e-05
                  0.3533                  -0.00010764661
                  0.3682                  -0.00011685646
                  0.3831                  -0.00012644212
                   0.398                   -0.0001364037
                  0.4129                  -0.00014674129
                  0.4278                  -0.00015745501
                  0.4427                  -0.00016854498
                  0.4576                   -0.0001800113
                  0.4725                   -0.0001918541
                  0.4874                   -0.0002040735
                  0.5023                  -0.00021666961
                  0.5172                  -0.00022964258
                  0.5321                  -0.00024299252
                   0.547                  -0.00025671958
                  0.5619                  -0.00027082389
                  0.5768                  -0.00028530558
                  0.5917                  -0.00030016481
                  0.6066                  -0.00031540171
                  0.6215                  -0.00033101643
                  0.6364                  -0.00034700913
                  0.6513                  -0.00036337996
                  0.6662                  -0.00038012908
                  0.6811                  -0.00039725665
                   0.696                  -0.00041476283
                  0.7109                  -0.00043264779
                  0.7258                  -0.00045091169
                  0.7407                  -0.00046955472
                  0.7556                  -0.00048857704
                  0.7705                  -0.00050797884
                  0.7854                   -0.0005277603
                  0.8003                   -0.0005479216
                  0.8152                  -0.00056846293
                  0.8301                  -0.00058938449
                   0.845                  -0.00061068646
                  0.8599                  -0.00063236904
                  0.8748                  -0.00065443243
                  0.8897                  -0.00067687685
                  0.9046                  -0.00069970248
                  0.9195                  -0.00072290955
                  0.9344                  -0.00074649827
                  0.9493                  -0.00077046884
                  0.9642                   -0.0007948215
                  0.9791                  -0.00081955646
                   0.994                  -0.00084467394
                  1.0089                  -0.00087017419
                  1.0238                  -0.00089605742
                  1.0387                  -0.00092232387
                  1.0536                  -0.00094897378
                  1.0685                  -0.00097600739
                  1.0834                   -0.0010034249
                  1.0983                   -0.0010312267
                  1.1132                   -0.0010594129
                  1.1281                   -0.0010879837
                   1.143                   -0.0011169396
                  1.1579                   -0.0011462806
                  1.1728                   -0.0011760071
                  1.1877                   -0.0012061194
                  1.2026                   -0.0012366176
                  1.2175                   -0.0012675022
                  1.2324                   -0.0012987733
                  1.2473                   -0.0013304312
                  1.2622                   -0.0013624763
                  1.2771                   -0.0013949087
                   1.292                   -0.0014277289
                  1.3069                    -0.001460937
                  1.3218                   -0.0014945334
                  1.3367                   -0.0015285184
                  1.3516                   -0.0015628922
                  1.3665                   -0.0015976552
                  1.3814                   -0.0016328077
                  1.3963                   -0.0016683501
                  1.4112                   -0.0017042825
                  1.4261                   -0.0017406053
                   1.441                   -0.0017773189
                  1.4559                   -0.0018144236
                  1.4708                   -0.0018519197
                  1.4857                   -0.0018898075
                  1.5006                   -0.0019280874
                  1.5155                   -0.0019667597
                  1.5304                   -0.0020058247
                  1.5453                   -0.0020452828
                  1.5602                   -0.0020851343
                  1.5751                   -0.0021253797
                    1.59                   -0.0021660191
                  1.6049                   -0.0022070531
                  1.6198                   -0.0022484819
                  1.6347                   -0.0022903059
                  1.6496                   -0.0023325255
                  1.6645                   -0.0023751411
                  1.6794                    -0.002418153
                  1.6943                   -0.0024615616
                  1.7092                   -0.0025053673
                  1.7241                   -0.0025495704
                   1.739                   -0.0025941714
                  1.7539                   -0.0026391707
                  1.7688                   -0.0026845686
                  1.7837                   -0.0027303655
                  1.7986                   -0.0027765619
                  1.8135                   -0.0028231581
                  1.8284                   -0.0028701546
                  1.8433                   -0.0029175517
                  1.8582                   -0.0029653499
                  1.8731                   -0.0030135496
                   1.888                   -0.0030621513
                  1.9029                   -0.0031111552
                  1.9178                   -0.0031605619
                  1.9327                   -0.0032103719
                  1.9476                   -0.0032605854
                  1.9625                    -0.003311203
                  1.9774                   -0.0033622252
                  1.9923                   -0.0034136523
                  2.0072                   -0.0034654848
                  2.0221                   -0.0035177232
                   2.037                   -0.0035703679
                  2.0519                   -0.0036234194
                  2.0668                   -0.0036768781
                  2.0817                   -0.0037307445
                  2.0966                   -0.0037850192
                  2.1115                   -0.0038397024
                  2.1264                   -0.0038947948
                  2.1413                   -0.0039502968
                  2.1562                    -0.004006209
                  2.1711                   -0.0040625317
                   2.186                   -0.0041192654
                  2.2009                   -0.0041764108
                  2.2158                   -0.0042339682
                  2.2307                   -0.0042919382
                  2.2456                   -0.0043503213
                  2.2605                    -0.004409118
                  2.2754                   -0.0044683288
                  2.2903                   -0.0045279542
                  2.3052                   -0.0045879948
                  2.3201                    -0.004648451
                   2.335                   -0.0047093234
                  2.3499                   -0.0047706126
                  2.3648                   -0.0048323191
                  2.3797                   -0.0048944433
                  2.3946                   -0.0049569859
                  2.4095                   -0.0050199474
                  2.4244                   -0.0050833284
                  2.4393                   -0.0051471293
                  2.4542                   -0.0052113509
                  2.4691                   -0.0052759935
                   2.484                   -0.0053410579
                  2.4989                   -0.0054065445
                  2.5138                    -0.005472454
                  2.5287                   -0.0055387868
                  2.5436                   -0.0056055437
                  2.5585                   -0.0056727252
                  2.5734                   -0.0057403318
                  2.5883                   -0.0058083642
                  2.6032                   -0.0058768229
                  2.6181                   -0.0059457087
                   2.633                    -0.006015022
                  2.6479                   -0.0060847634
                  2.6628                   -0.0061549337
                  2.6777                   -0.0062255334
                  2.6926                   -0.0062965631
                  2.7075                   -0.0063680235
                  2.7224                   -0.0064399151
                  2.7373                   -0.0065122387
                  2.7522                   -0.0065849948
                  2.7671                   -0.0066581841
                   2.782                   -0.0067318073
                  2.7969                   -0.0068058649
                  2.8118                   -0.0068803577
                  2.8267                   -0.0069552862
                  2.8416                   -0.0070306513
                  2.8565                   -0.0071064534
                  2.8714                   -0.0071826934
                  2.8863                   -0.0072593718
                  2.9012                   -0.0073364893
                  2.9161                   -0.0074140467
                   2.931                   -0.0074920446
                  2.9459                   -0.0075704837
                  2.9608                   -0.0076493647
                  2.9757                   -0.0077286883
                  2.9906                   -0.0078084551
                  3.0055                    -0.007888666
                  3.0204                   -0.0079693216
                  3.0353                   -0.0080504226
                  3.0502                   -0.0081319698
                  3.0651                   -0.0082139638
                    3.08                   -0.0082964055
                  3.0949                   -0.0083792954
                  3.1098                   -0.0084626344
                  3.1247                   -0.0085464233
                  3.1396                   -0.0086306627
                  3.1545                   -0.0087153534
                  3.1694                   -0.0088004961
                  3.1843                   -0.0088860917
                  3.1992                   -0.0089721408
                  3.2141                   -0.0090586443
                   3.229                   -0.0091456029
                  3.2439                   -0.0092330174
                  3.2588                   -0.0093208886
                  3.2737                   -0.0094092172
                  3.2886                   -0.0094980041
                  3.3035                     -0.00958725
                  3.3184                   -0.0096769557
                  3.3333                   -0.0097671221
                  3.3482                   -0.0098577499
                  3.3631                     -0.00994884
                   3.378                    -0.010040393
                  3.3929                     -0.01013241
                  3.4078                    -0.010224892
                  3.4227                    -0.010317839
                  3.4376                    -0.010411253
                  3.4525                    -0.010505134
                  3.4674                    -0.010599483
                  3.4823                    -0.010694301
                  3.4972                    -0.010789589
                  3.5121                    -0.010885347
                   3.527                    -0.010981577
                  3.5419                    -0.011078279
                  3.5568                    -0.011175455
                  3.5717                    -0.011273104
                  3.5866                    -0.011371229
                  3.6015                    -0.011469829
                  3.6164                    -0.011568906
                  3.6313                    -0.011668461
                  3.6462                    -0.011768495
                  3.6611                    -0.011869008
                   3.676                    -0.011970001
                  3.6909                    -0.012071475
                  3.7058                    -0.012173432
                  3.7207                    -0.012275872
                  3.7356                    -0.012378796
                  3.7505                    -0.012482205
                  3.7654                      -0.0125861
                  3.7803                    -0.012690482
                  3.7952                    -0.012795352
                  3.8101                    -0.012900711
                   3.825                    -0.013006559
                  3.8399                    -0.013112898
                  3.8548                    -0.013219729
                  3.8697                    -0.013327053
                  3.8846                     -0.01343487
                  3.8995                    -0.013543182
                  3.9144                    -0.013651989
                  3.9293                    -0.013761293
                  3.9442                    -0.013871095
                  3.9591                    -0.013981395
                   3.974                    -0.014092195
                  3.9889                    -0.014203496
                  4.0038                    -0.014315298
                  4.0187                    -0.014427604
                  4.0336                    -0.014540413
                  4.0485                    -0.014653726
                  4.0634                    -0.014767546
                  4.0783                    -0.014881872
                  4.0932                    -0.014996707
                  4.1081                     -0.01511205
                   4.123                    -0.015227904
                  4.1379                    -0.015344269
                  4.1528                    -0.015461146
                  4.1677                    -0.015578536
                  4.1826                    -0.015696441
                  4.1975                    -0.015814861
