        Frequency / GHz                SZmax(1),Zmax(1) (Lx=8)/abs,dB
----------------------------------------------------------------------
                     0.1                      -44.913746
                  0.1149                      -43.717259
                  0.1298                      -42.665992
                  0.1447                      -41.728558
                  0.1596                       -40.88276
                  0.1745                      -40.112322
                  0.1894                      -39.404956
                  0.2043                      -38.751156
                  0.2192                      -38.143417
                  0.2341                      -37.575712
                   0.249                      -37.043124
                  0.2639                      -36.541594
                  0.2788                      -36.067729
                  0.2937                      -35.618664
                  0.3086                      -35.191961
                  0.3235                      -34.785523
                  0.3384                      -34.397538
                  0.3533                      -34.026426
                  0.3682                      -33.670806
                  0.3831                      -33.329456
                   0.398                      -33.001298
                  0.4129                      -32.685371
                  0.4278                      -32.380816
                  0.4427                      -32.086862
                  0.4576                      -31.802815
                  0.4725                      -31.528048
                  0.4874                       -31.26199
                  0.5023                      -31.004126
                  0.5172                      -30.753981
                  0.5321                      -30.511125
                   0.547                       -30.27516
                  0.5619                      -30.045722
                  0.5768                      -29.822475
                  0.5917                       -29.60511
                  0.6066                      -29.393339
                  0.6215                      -29.186895
                  0.6364                      -28.985533
                  0.6513                      -28.789022
                  0.6662                      -28.597147
                  0.6811                      -28.409709
                   0.696                       -28.22652
                  0.7109                      -28.047405
                  0.7258                      -27.872199
                  0.7407                      -27.700749
                  0.7556                      -27.532909
                  0.7705                      -27.368542
                  0.7854                      -27.207521
                  0.8003                      -27.049723
                  0.8152                      -26.895034
                  0.8301                      -26.743346
                   0.845                      -26.594555
                  0.8599                      -26.448565
                  0.8748                      -26.305283
                  0.8897                      -26.164623
                  0.9046                      -26.026499
                  0.9195                      -25.890835
                  0.9344                      -25.757553
                  0.9493                      -25.626584
                  0.9642                      -25.497858
                  0.9791                       -25.37131
                   0.994                      -25.246878
                  1.0089                      -25.124503
                  1.0238                      -25.004128
                  1.0387                      -24.885699
                  1.0536                      -24.769163
                  1.0685                      -24.654472
                  1.0834                      -24.541577
                  1.0983                      -24.430433
                  1.1132                      -24.320996
                  1.1281                      -24.213223
                   1.143                      -24.107075
                  1.1579                      -24.002513
                  1.1728                      -23.899499
                  1.1877                      -23.797997
                  1.2026                      -23.697973
                  1.2175                      -23.599394
                  1.2324                      -23.502228
                  1.2473                      -23.406444
                  1.2622                      -23.312011
