        Frequency / GHz                SZmin(1),Zmax(1) (Lx=8) (Re)/
----------------------------------------------------------------------
                     0.1                      0.99999155
                  0.1149                        0.999988
                  0.1298                      0.99998411
                  0.1447                      0.99997988
                  0.1596                       0.9999753
                  0.1745                      0.99997038
                  0.1894                      0.99996512
                  0.2043                      0.99995951
                  0.2192                      0.99995356
                  0.2341                      0.99994726
                   0.249                      0.99994061
                  0.2639                      0.99993362
                  0.2788                      0.99992627
                  0.2937                      0.99991858
                  0.3086                      0.99991054
                  0.3235                      0.99990215
                  0.3384                      0.99989341
                  0.3533                      0.99988431
                  0.3682                      0.99987487
                  0.3831                      0.99986507
                   0.398                      0.99985491
                  0.4129                      0.99984441
                  0.4278                      0.99983355
                  0.4427                      0.99982233
                  0.4576                      0.99981076
                  0.4725                      0.99979883
                  0.4874                      0.99978655
                  0.5023                      0.99977391
                  0.5172                      0.99976091
                  0.5321                      0.99974755
                   0.547                      0.99973383
                  0.5619                      0.99971975
                  0.5768                      0.99970531
                  0.5917                      0.99969051
                  0.6066                      0.99967535
                  0.6215                      0.99965983
                  0.6364                      0.99964395
                  0.6513                       0.9996277
                  0.6662                      0.99961109
                  0.6811                      0.99959411
                   0.696                      0.99957677
                  0.7109                      0.99955907
                  0.7258                      0.99954099
                  0.7407                      0.99952256
                  0.7556                      0.99950375
                  0.7705                      0.99948458
                  0.7854                      0.99946504
                  0.8003                      0.99944513
                  0.8152                      0.99942485
                  0.8301                       0.9994042
                   0.845                      0.99938318
                  0.8599                      0.99936179
                  0.8748                      0.99934003
                  0.8897                       0.9993179
                  0.9046                       0.9992954
                  0.9195                      0.99927252
                  0.9344                      0.99924927
                  0.9493                      0.99922565
                  0.9642                      0.99920165
                  0.9791                      0.99917727
                   0.994                      0.99915252
                  1.0089                       0.9991274
                  1.0238                       0.9991019
                  1.0387                      0.99907602
                  1.0536                      0.99904976
                  1.0685                      0.99902313
                  1.0834                      0.99899612
                  1.0983                      0.99896872
                  1.1132                      0.99894095
                  1.1281                       0.9989128
                   1.143                      0.99888427
                  1.1579                      0.99885536
                  1.1728                      0.99882606
                  1.1877                      0.99879638
                  1.2026                      0.99876633
                  1.2175                      0.99873588
                  1.2324                      0.99870506
                  1.2473                      0.99867385
                  1.2622                      0.99864225
                  1.2771                      0.99861027
                   1.292                       0.9985779
                  1.3069                      0.99854515
                  1.3218                      0.99851201
                  1.3367                      0.99847849
                  1.3516                      0.99844457
                  1.3665                      0.99841027
                  1.3814                      0.99837558
                  1.3963                       0.9983405
                  1.4112                      0.99830503
                  1.4261                      0.99826917
                   1.441                      0.99823292
                  1.4559                      0.99819627
                  1.4708                      0.99815924
                  1.4857                      0.99812181
                  1.5006                      0.99808399
                  1.5155                      0.99804578
                  1.5304                      0.99800717
                  1.5453                      0.99796817
                  1.5602                      0.99792877
                  1.5751                      0.99788898
                    1.59                      0.99784879
                  1.6049                      0.99780821
                  1.6198                      0.99776723
                  1.6347                      0.99772585
                  1.6496                      0.99768407
                  1.6645                       0.9976419
                  1.6794                      0.99759932
                  1.6943                      0.99755635
                  1.7092                      0.99751297
                  1.7241                       0.9974692
                   1.739                      0.99742502
                  1.7539                      0.99738045
                  1.7688                      0.99733547
                  1.7837                      0.99729008
                  1.7986                       0.9972443
                  1.8135                      0.99719811
                  1.8284                      0.99715151
                  1.8433                      0.99710452
                  1.8582                      0.99705711
                  1.8731                       0.9970093
                   1.888                      0.99696108
                  1.9029                      0.99691246
                  1.9178                      0.99686343
                  1.9327                      0.99681399
                  1.9476                      0.99676414
                  1.9625                      0.99671389
                  1.9774                      0.99666322
                  1.9923                      0.99661214
                  2.0072                      0.99656066
                  2.0221                      0.99650876
                   2.037                      0.99645645
                  2.0519                      0.99640372
                  2.0668                      0.99635059
                  2.0817                      0.99629704
                  2.0966                      0.99624307
                  2.1115                      0.99618869
                  2.1264                       0.9961339
                  2.1413                      0.99607869
                  2.1562                      0.99602307
                  2.1711                      0.99596702
                   2.186                      0.99591056
                  2.2009                      0.99585369
