        Frequency / GHz                SZmax(1),Zmin(1) (Lx=8) (Re)/
----------------------------------------------------------------------
                     0.1                      0.99962917
                  0.1149                       0.9993927
                  0.1298                      0.99914391
                  0.1447                      0.99888274
                  0.1596                      0.99860913
                  0.1745                      0.99832304
                  0.1894                       0.9980244
                  0.2043                      0.99771317
                  0.2192                      0.99738929
                  0.2341                      0.99705269
                   0.249                      0.99670333
                  0.2639                      0.99634116
                  0.2788                      0.99596611
                  0.2937                      0.99557813
                  0.3086                      0.99517716
                  0.3235                      0.99476316
                  0.3384                      0.99433606
                  0.3533                      0.99389581
                  0.3682                      0.99344236
                  0.3831                      0.99297565
                   0.398                      0.99249563
                  0.4129                      0.99200225
                  0.4278                      0.99149546
                  0.4427                      0.99097521
                  0.4576                      0.99044143
                  0.4725                       0.9898941
                  0.4874                      0.98933315
                  0.5023                      0.98875853
                  0.5172                      0.98817021
                  0.5321                      0.98756814
                   0.547                      0.98695226
                  0.5619                      0.98632253
                  0.5768                      0.98567891
                  0.5917                      0.98502136
                  0.6066                      0.98434984
                  0.6215                       0.9836643
                  0.6364                       0.9829647
                  0.6513                      0.98225101
                  0.6662                      0.98152319
                  0.6811                       0.9807812
                   0.696                        0.980025
                  0.7109                      0.97925456
                  0.7258                      0.97846985
                  0.7407                      0.97767084
                  0.7556                      0.97685749
                  0.7705                      0.97602977
                  0.7854                      0.97518766
                  0.8003                      0.97433112
                  0.8152                      0.97346014
                  0.8301                      0.97257468
                   0.845                      0.97167472
                  0.8599                      0.97076024
                  0.8748                      0.96983121
                  0.8897                      0.96888763
                  0.9046                      0.96792945
                  0.9195                      0.96695668
                  0.9344                      0.96596929
                  0.9493                      0.96496726
                  0.9642                      0.96395058
                  0.9791                      0.96291924
                   0.994                      0.96187322
                  1.0089                      0.96081252
                  1.0238                      0.95973711
                  1.0387                      0.95864701
                  1.0536                      0.95754218
                  1.0685                      0.95642264
                  1.0834                      0.95528837
                  1.0983                      0.95413938
                  1.1132                      0.95297565
                  1.1281                      0.95179718
                   1.143                      0.95060398
                  1.1579                      0.94939604
                  1.1728                      0.94817337
                  1.1877                      0.94693596
                  1.2026                      0.94568383
                  1.2175                      0.94441697
                  1.2324                       0.9431354
                  1.2473                      0.94183911
                  1.2622                      0.94052811
                  1.2771                      0.93920243
                   1.292                      0.93786205
                  1.3069                        0.936507
                  1.3218                      0.93513728
                  1.3367                      0.93375292
                  1.3516                      0.93235392
                  1.3665                      0.93094029
                  1.3814                      0.92951206
                  1.3963                      0.92806923
                  1.4112                      0.92661183
                  1.4261                      0.92513988
                   1.441                      0.92365339
                  1.4559                      0.92215238
                  1.4708                      0.92063688
                  1.4857                       0.9191069
                  1.5006                      0.91756248
                  1.5155                      0.91600362
                  1.5304                      0.91443036
                  1.5453                      0.91284272
                  1.5602                      0.91124073
                  1.5751                      0.90962441
                    1.59                      0.90799379
                  1.6049                       0.9063489
                  1.6198                      0.90468977
                  1.6347                      0.90301642
                  1.6496                      0.90132889
                  1.6645                       0.8996272
                  1.6794                      0.89791139
                  1.6943                       0.8961815
                  1.7092                      0.89443754
                  1.7241                      0.89267956
                   1.739                      0.89090759
                  1.7539                      0.88912166
                  1.7688                      0.88732181
                  1.7837                      0.88550808
                  1.7986                       0.8836805
